Index,Company Name,Job Title,Job Description,Location,Position,Salary,Required Courses
0,CyberTech,DevOps Engineer,Analyze and interpret complex data sets.,"Miami, FL",Full-time,"$85,000","Docker, Kubernetes, CI/CD, Infrastructure as Code, Cloud Platforms (AWS, Azure)"
1,CloudNet,Data Analyst,Monitor and secure network systems.,"San Francisco, CA",Internship,"$130,000","Excel, SQL, Data Visualization, Python/R, Statistical Analysis"
2,CloudNet,ML Engineer,Automate and streamline development processes.,"San Francisco, CA",Full-time,"$120,000","Machine Learning, Deep Learning, Python, TensorFlow/Keras, Data Science"
3,Tech Innovators,Product Manager,Develop and maintain software applications.,Remote,Internship,"$120,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
4,CyberTech,DevOps Engineer,Design and manage cloud infrastructure.,"Boston, MA",Full-time,"$130,000","Docker, Kubernetes, CI/CD, Infrastructure as Code, Cloud Platforms (AWS, Azure)"
5,FinTech StartUp,Product Manager,Interpret healthcare data to improve services.,"Boston, MA",Part-time,"$105,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
6,CloudNet,Software Engineer,Develop machine learning models and algorithms.,"Seattle, WA",Internship,"$135,000","Programming Languages (Java, C++, Python), Data Structures, Algorithms, System Design"
7,EduTech,Product Manager,Develop and maintain software applications.,"Austin, TX",Part-time,"$130,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
8,CyberTech,Product Manager,Interpret healthcare data to improve services.,"Austin, TX",Part-time,"$125,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
9,CloudNet,DevOps Engineer,Create and optimize web user interfaces.,"Chicago, IL",Full-time,"$150,000","Docker, Kubernetes, CI/CD, Infrastructure as Code, Cloud Platforms (AWS, Azure)"
10,Data Wizards,Data Scientist,Monitor and secure network systems.,"Miami, FL",Part-time,"$150,000","Machine Learning, Data Analysis, Python/R, SQL, Data Visualization"
11,FinTech StartUp,Cloud Architect,Monitor and secure network systems.,"Chicago, IL",Full-time,"$125,000","Cloud Platforms (AWS, Azure, GCP), Cloud Architecture, Security, DevOps"
12,FinTech StartUp,Front-end Developer,Oversee product development and launch.,"Boston, MA",Part-time,"$120,000","HTML, CSS, JavaScript, React/Vue/Angular, Responsive Design"
13,CloudNet,Product Manager,Oversee product development and launch.,"Seattle, WA",Part-time,"$140,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
14,EduTech,Software Engineer,Interpret healthcare data to improve services.,"San Francisco, CA",Full-time,"$105,000","Programming Languages (Java, C++, Python), Data Structures, Algorithms, System Design"
15,FinTech StartUp,Backend Developer,Develop and maintain software applications.,"Austin, TX",Part-time,"$105,000","Programming Languages (Java, Python, Node.js), Databases, APIs, System Design"
16,Tech Innovators,ML Engineer,Design and manage cloud infrastructure.,"Austin, TX",Full-time,"$125,000","Machine Learning, Deep Learning, Python, TensorFlow/Keras, Data Science"
17,CyberTech,Product Manager,Monitor and secure network systems.,"Chicago, IL",Internship,"$85,000","Product Management, Agile/Scrum, Business Analysis, Market Research"
18,Tech Innovators,Security Analyst,Develop machine learning models and algorithms.,"Palo Alto, CA",Part-time,"$95,000","Cybersecurity Fundamentals, Network Security, Threat Analysis, Security Tools"
19,HealthCorp,Security Analyst,Analyze and interpret complex data sets.,"Austin, TX",Full-time,"$105,000","Cybersecurity Fundamentals, Network Security, Threat Analysis, Security Tools"
20,Tech Innovators,Backend Developer,Design and manage cloud infrastructure.,"Palo Alto, CA",Part-time,"$125,000","Programming Languages (Java, Python, Node.js), Databases, APIs, System Design"
21,Web Solutions,Backend Developer,Oversee product development and launch.,"Palo Alto, CA",Full-time,"$125,000","Programming Languages (Java, Python, Node.js), Databases, APIs, System Design"
